CUFSM CLI Analysis Results
==========================

MODEL
Material columns: material_id Ex Ey nu_x nu_y G
material_id,Ex,Ey,nu_x,nu_y,G
100,29500,29500,0.3,0.3,11346.15

Node columns: node_id x z dof_x dof_z dof_y dof_rotation stress
node_id,x,z,dof_x,dof_z,dof_y,dof_rotation,stress
1,5,1,1,1,1,1,50
2,5,0.5,1,1,1,1,50
3,5,0,1,1,1,1,50
4,3.75,0,1,1,1,1,50
5,2.5,0,1,1,1,1,50
6,1.25,0,1,1,1,1,50
7,0,0,1,1,1,1,50
8,0,1.5,1,1,1,1,50
9,0,3,1,1,1,1,50
10,0,4.5,1,1,1,1,50
11,0,6,1,1,1,1,50
12,0,7.5,1,1,1,1,50
13,0,9,1,1,1,1,50
14,1.25,9,1,1,1,1,50
15,2.5,9,1,1,1,1,50
16,3.75,9,1,1,1,1,50
17,5,9,1,1,1,1,50
18,5,8.5,1,1,1,1,50
19,5,8,1,1,1,1,50

Element columns: element_id node_i node_j thickness material_id
element_id,node_i,node_j,thickness,material_id
1,1,2,0.1,100
2,2,3,0.1,100
3,3,4,0.1,100
4,4,5,0.1,100
5,5,6,0.1,100
6,6,7,0.1,100
7,7,8,0.1,100
8,8,9,0.1,100
9,9,10,0.1,100
10,10,11,0.1,100
11,11,12,0.1,100
12,12,13,0.1,100
13,13,14,0.1,100
14,14,15,0.1,100
15,15,16,0.1,100
16,16,17,0.1,100
17,17,18,0.1,100
18,18,19,0.1,100

ANALYSIS SETTINGS
boundary_condition,S-S
number_of_lengths,101
minimum_length,1
maximum_length,1000
requested_eigenmodes,10
member_lengths,120
springs_defined,0
constraints_defined,0
cfsm_active,0

SIGNATURE CURVE
half_wavelength,lowest_eigenvalue
9.32603346883,0.376407158137,0.358147497079,3.22751068951,96.2543641376,0.15997767578,local
10,0.392038456917,0.392142613582,4.05440166125,95.3898948589,0.163560866274,local
10.7226722201,0.411815118054,0.432619286175,5.11362326844,94.286076924,0.167680521351,local
11.497569954,0.435910706801,0.480502751467,6.4751548194,92.8721103646,0.172232064557,local
12.3284673944,0.464475040688,0.536704345047,8.23054091392,91.0556744639,0.177080277092,local
13.2194114847,0.497572020888,0.601951920429,10.4987935755,88.717214806,0.182039698111,local
14.1747416293,0.535073624844,0.676474830041,13.4324158198,85.7042623023,0.186847047848,local
15.1991108295,0.57648058192,0.759462163075,17.2208038428,81.828610105,0.19112388919,local
16.2975083462,0.620627802677,0.848220982542,22.0835507007,76.8738978773,0.194330439539,local
17.4752840001,0.665239458276,0.937102653328,28.2361988812,70.630976039,0.195722426481,local
18.7381742286,0.706403131151,1.01678007301,35.7967665242,62.992098815,0.194354587835,local
20.0923300257,0.738410488138,1.07552154243,44.6080220292,54.1272208489,0.189235579526,local
21.5443469003,0.755028168446,1.10444203919,54.0557895763,44.660010066,0.17975831856,distortional
23.1012970008,0.752733314542,1.10448701437,63.1583088051,35.5709408051,0.16626337541,distortional
24.7707635599,0.733337607184,1.08685575183,71.0464982142,27.7165220851,0.150123948803,distortional
26.5608778295,0.702694405377,1.06536116145,77.3602469429,21.4413053062,0.133086589364,distortional
28.4803586844,0.667263446602,1.05025792072,82.1856464642,16.6475402083,0.116555406823,distortional
30.5385550883,0.632049438444,1.04774072562,85.7938262563,13.0570710156,0.101362002447,distortional
32.7454916288,0.600323424451,1.06182867345,88.4669846184,10.3833129055,0.0878738026541,distortional
35.1119173422,0.574053073931,1.09605687855,90.4368059634,8.39096676274,0.0761703952739,distortional
37.6493580679,0.554382115717,1.15456379332,91.8773221471,6.90193529543,0.066178764199,distortional
40.370172586,0.541982619118,1.2428466441,92.9142034779,5.78519258398,0.057757294059,distortional
43.2876128108,0.537283744719,1.36845796869,93.6358242784,4.94497432477,0.0507434281714,distortional
46.4158883361,0.540614044226,1.54183789095,94.1020577667,4.31112510114,0.0449792412085,distortional
49.7702356433,0.552288252795,1.77745425159,94.3502535834,3.8319677741,0.0403243909236,distortional
53.3669923121,0.572658307702,2.0954649101,94.3986687567,3.46920417847,0.0366621546948,distortional
57.2236765935,0.602139131991,2.52423279056,94.2475745967,3.19429059712,0.0339020156298,distortional
61.3590727341,0.641212292447,3.10425557846,93.8779154524,2.98584778896,0.0319811802151,distortional
65.7933224658,0.690402843565,3.8945159387,93.2468280679,2.82778883706,0.0308671563469,distortional
70.5480231072,0.750212819354,4.98312136002,92.2783758235,2.70793893304,0.0305638834033,distortional
75.6463327555,0.820971311791,6.50580391999,90.846098544,2.61697278375,0.0311247522303,distortional
81.113083079,0.902507321877,8.67913531888,88.7406935733,2.54749414499,0.0326769628098,distortional
86.9749002618,0.993420439945,11.8607550864,85.6108167441,2.49296701261,0.0354611569156,distortional
93.2603346883,0.976147522116,75.9288582942,23.4754799216,0.530654151673,0.0650076324755,global
100,0.883385965147,81.4009667232,18.1269286824,0.414975113769,0.0571294806467,global
107.226722201,0.791804383403,85.7450551172,13.8841298184,0.321180049003,0.0496350153902,global
114.97569954,0.704945721733,89.1343041544,10.5761879427,0.246730176517,0.0427777263882,global
120,0.654895028111,90.8183771763,8.93335842609,0.209322598514,0.0389417990934,global
123.284673944,0.624681524549,91.7497206361,8.02508969885,0.188520499916,0.0366691650867,global
132.194114847,0.551787041065,93.7537118893,6.07146106838,0.143500363638,0.0313266786409,global
141.747416293,0.486367357317,95.2819202733,4.5824078041,0.108959433661,0.0267124889347,global
151.991108295,0.428142090392,96.4433999051,3.45121916395,0.0826200499292,0.0227608810252,global
162.975083462,0.376626235773,97.3239427283,2.59403002198,0.0626318537252,0.0193953960405,global
174.752840001,0.331241580115,97.9901639294,1.9457730847,0.0475240860332,0.0165388998336,global
187.381742286,0.291383525622,98.4933648371,1.4563715139,0.0361446628916,0.0141189861419,global
200.923300257,0.256459837317,98.8728408201,1.08748863847,0.0276000490791,0.0120704923201,global
215.443469003,0.225911907789,99.1585801944,0.809881622646,0.0212018679532,0.010336314961,global
231.012970008,0.199225252098,99.3734084612,0.601302152048,0.016422105761,0.00886728096443,global
247.707635599,0.175933478522,99.5346651896,0.444856410409,0.0128568617988,0.00762153816893,global
